"date";"open";"high";"low";"close";"volume";"adjusted"
2013-12-31;44,23;44,5;43,759998;44,189999;874200;42,114185
2014-01-02;44,080002;44,18;43,27;43,650002;992900;41,599564
2014-01-03;43,57;44,32;43,169998;43,959999;378400;41,894978
2014-01-06;43,970001;43,98;43,369999;43,68;597800;41,628143
2014-01-07;42,16;43,98;42,16;43,869999;1371300;41,809219
2014-01-08;44,02;44,360001;43,400002;43,880001;1407100;41,818748
2014-01-09;43,889999;44,25;43,84;44,130001;1093500;42,057007
2014-01-10;44,169998;46,080002;44,02;45,73;2008600;43,581852
2014-01-13;45,700001;47,439999;45,200001;47,040001;2278500;44,830307
2014-01-14;47,16;47,889999;46,91;47,799999;2338200;45,554619
2014-01-15;47,970001;49,189999;47,259998;47,5;1733000;45,268703
2014-01-16;47,279999;47,68;47,040001;47,400002;1178700;45,173412
2014-01-17;47,52;48,240002;47;48;1572100;45,74522
2014-01-21;49,380001;49,380001;47,939999;48,169998;1570400;45,90723
2014-01-22;48,110001;49,16;48,080002;48,509998;682200;46,231255
2014-01-23;48,68;48,68;47,580002;47,720001;867600;45,478378
2014-01-24;47,619999;47,709999;45,830002;46,84;1417500;44,639709
2014-01-27;45,200001;48;45,200001;46,599998;717800;44,410976
2014-01-28;46,77;47,880001;46,77;47,73;721700;45,4879
2014-01-29;47,349998;48,48;47,130001;47,779999;800900;45,535549
2014-01-30;47,91;49,630001;47,830002;49,419998;1247100;47,098511
2014-01-31;49,25;49,959999;49,029999;49,349998;2011100;47,031796
2014-02-03;49,349998;49,939999;47,200001;47,439999;1184800;45,211517
2014-02-04;47,439999;48,48;47,32;48,049999;891300;45,792862
2014-02-05;47,84;48,650002;47,150002;47,599998;823100;45,364006
2014-02-06;47,5;49,27;47,5;49,240002;1168400;46,926979
2014-02-07;49,330002;50,27;49,330002;49,939999;1837500;47,594086
2014-02-10;49,990002;50,119999;49,450001;49,84;763400;47,498783
2014-02-11;49,73;50,41;49,330002;49,889999;1446100;47,546436
2014-02-12;49,919998;51;49,73;50;1405300;47,651264
2014-02-13;49,98;50,439999;49,59;50,119999;695000;47,765629
2014-02-14;50,150002;50,25;49,59;49,630001;891700;47,298653
2014-02-18;49,720001;50,860001;49,720001;50,110001;2748500;47,7561
2014-02-19;49,84;50,34;49,029999;49,16;1076100;46,850727
2014-02-20;50,23;52,779999;49,099998;51,52;2623600;49,099865
2014-02-21;51,75;52,790001;51,75;52,369999;2198700;49,909939
2014-02-24;52,360001;53,110001;52,360001;52,860001;667900;50,376915
2014-02-25;53;54,580002;52,93;54,560001;1117600;51,997066
2014-02-26;54,830002;55,779999;54,18;54,66;1880100;52,092369
2014-02-27;54,689999;55,529999;54,209999;55,349998;1139900;52,74995
2014-02-28;55,09;55,32;53,82;54,349998;1198500;51,796925
2014-03-03;54,669998;54,93;53,080002;53,490002;659600;50,977329
2014-03-04;53,709999;55;53,48;54;1189900;51,463367
2014-03-05;53,900002;54,310001;53,380001;53,950001;395000;51,415714
2014-03-06;53,990002;54,099998;53,040001;53,189999;617400;50,691418
2014-03-07;53,439999;53,779999;52,59;53,389999;776100;50,882011
2014-03-10;53,200001;53,669998;52,240002;53,290001;1155300;50,786732
2014-03-11;53,490002;54,799999;53,450001;54,5;874700;51,939888
2014-03-12;54,419998;54,740002;52,77;54,279999;1255500;51,730221
2014-03-13;54,459999;54,709999;53,130001;53,599998;946400;51,157551
2014-03-14;53,619999;53,950001;53,25;53,299999;1071800;50,871231
2014-03-17;53,439999;53,830002;52,93;52,959999;1011700;50,546711
2014-03-18;52,950001;53,490002;52,709999;53,279999;880800;50,852142
2014-03-19;53,18;54;52,919998;53,279999;645000;50,852142
2014-03-20;53,41;54,220001;52,82;54,169998;628100;51,701576
2014-03-21;54,380001;54,810001;53,740002;53,810001;1356800;51,357994
2014-03-24;54;54,23;53,040001;53,470001;895600;51,033478
2014-03-25;53,700001;53,900002;53,169998;53,209999;708000;50,785324
2014-03-26;53,32;53,5;52,009998;52,040001;691100;49,668644
2014-03-27;51,869999;51,970001;51,189999;51,450001;492900;49,10553
2014-03-28;51,619999;52,439999;51,540001;52,16;346100;49,783173
2014-03-31;52,380001;52,580002;51,91;52,169998;334600;49,792717
2014-04-01;52,439999;54,060001;52,290001;53,919998;593600;51,462971
2014-04-02;53,919998;54,810001;53,59;54,669998;500500;52,178799
2014-04-03;54,77;55;54,580002;54,950001;427900;52,446045
2014-04-04;54,82;55,349998;53;53,73;492000;51,281635
2014-04-07;53,709999;54;51,529999;51,619999;1054200;49,267776
2014-04-08;51,34;51,779999;50,810001;51,41;1213700;49,067341
2014-04-09;51,459999;51,59;51,23;51,5;1212800;49,153244
2014-04-10;51,52;51,790001;50,119999;50,68;1488500;48,370617
2014-04-11;50,529999;50,900002;49,860001;50,009998;1184600;47,731144
2014-04-14;50,279999;50,610001;49,18;49,77;605900;47,502075
2014-04-15;49,880001;50,43;48,93;49,959999;419300;47,683422
2014-04-16;50,16;50,720001;49,84;50,23;254000;47,941124
2014-04-17;50,07;50,540001;49,43;50,150002;427200;47,864765
2014-04-21;49,98;50,650002;49,599998;50,630001;225700;48,322887
2014-04-22;50,709999;51,150002;50,360001;51;422500;48,676037
2014-04-23;50,889999;50,959999;49,98;50,400002;507800;48,103374
2014-04-24;50,619999;50,779999;49,720001;50,240002;659800;47,950672
2014-04-25;49,950001;50,389999;49,369999;49,540001;290300;47,282562
2014-04-28;49,84;50,080002;48,450001;48,82;605400;46,595367
2014-04-29;48,959999;49,43;48,459999;48,900002;442000;46,671722
2014-04-30;49;49,459999;48,439999;49,349998;481100;47,101223
2014-05-01;51;51,860001;49,48;51,25;722100;48,91465
2014-05-02;51,18;51,740002;50,25;50,700001;479000;48,389702
2014-05-05;50,279999;50,52;49,57;50,060001;413800;47,778873
2014-05-06;49,950001;50,16;49,549999;49,889999;596000;47,616611
2014-05-07;49,889999;50,32;49,34;49,93;598000;47,654781
2014-05-08;49,599998;50,400002;49,110001;49,360001;530600;47,11076
2014-05-09;49,200001;50,16;48,669998;50;489100;47,721596
2014-05-12;50,049999;50,84;50,049999;50,48;586100;48,179726
2014-05-13;50,5;50,720001;50,330002;50,48;638700;48,179726
2014-05-14;50,299999;50,43;49,740002;49,790001;470700;47,521168
2014-05-15;49,52;49,740002;47,98;48,290001;738400;46,089516
2014-05-16;48,32;49,43;48,150002;49,279999;719500;47,034409
2014-05-19;49,299999;50,360001;49,27;50,209999;653500;47,922024
2014-05-20;49,869999;50,540001;49,75;50,5;1543600;48,198814
2014-05-21;50,52;51,029999;50,400002;50,709999;338500;48,399239
2014-05-22;50,650002;51,84;50,32;51,490002;501100;49,1437
2014-05-23;51,73;52,59;51,330002;52,459999;451800;50,069504
2014-05-27;52,490002;52,84;52,330002;52,470001;331600;50,079044
2014-05-28;52,619999;53,259998;52,459999;52,939999;523700;50,527634
2014-05-29;52,939999;53,860001;52,939999;53,52;815600;51,0812
2014-05-30;53,490002;53,509998;52,330002;52,389999;400300;50,002689
2014-06-02;52,77;52,77;52,040001;52,07;646500;49,697269
2014-06-03;51,299999;52,740002;51,299999;52,41;451900;50,021774
2014-06-04;52,27;53,310001;52,23;53,150002;621100;50,728065
2014-06-05;53,200001;54,34;52,900002;54,310001;608900;51,835205
2014-06-06;54,43;56,09;54,369999;55,830002;965400;53,285942
2014-06-09;55,970001;56,810001;55,619999;56,349998;850400;53,782249
2014-06-10;56,240002;56,75;55,950001;56,73;618100;54,144928
2014-06-11;56,400002;56,419998;55,98;56,34;625600;53,772697
2014-06-12;56,18;56,560001;55,889999;56,119999;1780200;53,638878
2014-06-13;56,259998;56,259998;55,900002;56,09;545100;53,610214
2014-06-16;55,93;57,360001;55,84;57,130001;634300;54,604237
2014-06-17;56,880001;57,66;56,099998;57,25;1436700;54,718945
2014-06-18;57,23;57,5;57,049999;57,34;1901900;54,804955
2014-06-19;57,330002;57,740002;56,040001;57,27;875800;54,738045
2014-06-20;57,139999;57,779999;56,880001;57,619999;1265000;55,072575
2014-06-23;57,720001;58,290001;57,43;57,560001;384500;55,015228
2014-06-24;57,299999;57,57;56,490002;56,68;580300;54,174133
2014-06-25;56,619999;56,830002;56,040001;56,689999;503900;54,183678
2014-06-26;56,720001;56,779999;56,169998;56,32;336500;53,830055
2014-06-27;56,450001;56,450001;55,52;55,580002;1105000;53,122761
2014-06-30;55,52;56,75;55,419998;56,68;609900;54,174133
2014-07-01;56,77;57,459999;56,77;57,060001;424500;54,537338
2014-07-02;57;57,869999;57;57,369999;484600;54,833626
2014-07-03;57,459999;57,740002;57,02;57,16;138700;54,632912
2014-07-07;57,040001;57,040001;55,939999;56,040001;274700;53,562428
2014-07-08;56,040001;56,040001;54,990002;55,509998;424300;53,055859
2014-07-09;55,5;56,029999;55,360001;55,610001;342800;53,151443
2014-07-10;54,849998;55,880001;54,619999;55,599998;496000;53,14188
2014-07-11;55,669998;56,450001;55,439999;56,029999;269000;53,552868
2014-07-14;56,099998;56,57;55,619999;55,98;426400;53,505077
2014-07-15;55,849998;56,189999;55,279999;55,610001;306800;53,151443
2014-07-16;55,790001;56,110001;55,139999;55,43;417400;52,979397
2014-07-17;55,049999;55,169998;54,18;54,27;408600;51,87067
2014-07-18;54,349998;55,009998;54,110001;54,889999;300700;52,463261
2014-07-21;54,790001;55,049999;54,560001;54,759998;265900;52,339016
2014-07-22;55,150002;55,580002;54,709999;54,900002;242000;52,472828
2014-07-23;54,919998;55,09;54,099998;54,450001;362800;52,042717
2014-07-24;54,419998;55,459999;54,290001;54,970001;412400;52,539742
2014-07-25;54,630001;55,25;54,389999;55,099998;473700;52,663986
2014-07-28;55,099998;55,110001;53,32;53,57;513200;51,20163
2014-07-29;53,52;53,860001;52,419998;52,450001;582000;50,131138
2014-07-30;52,549999;53,959999;52,43;53,66;799300;51,287647
2014-07-31;50,900002;52,73;49,93;51,43;1583400;49,156242
2014-08-01;51,43;51,48;49,59;50,360001;903900;48,133549
2014-08-04;50,59;51,77;49,970001;50,119999;956900;47,904156
2014-08-05;50,139999;50,93;49,799999;50,400002;668400;48,171776
2014-08-06;49,299999;50,23;48,830002;50,119999;1078300;47,904156
2014-08-07;50,5;50,630001;49,599998;49,869999;622300;47,665207
2014-08-08;49,919998;50,720001;49,919998;50,610001;850400;48,372494
2014-08-11;50,759998;51,029999;50,279999;50,360001;342200;48,133549
2014-08-12;50,290001;51,119999;50,279999;50,959999;712200;48,707012
2014-08-13;51,060001;52,279999;51,060001;52,240002;708300;49,930435
2014-08-14;52,23;52,360001;51,669998;52,02;626600;49,720154
2014-08-15;52,330002;52,93;51,830002;52,259998;755500;49,949535
2014-08-18;52,509998;53,200001;52,169998;52,639999;325400;50,31274
2014-08-19;52,799999;53,41;52,23;52,610001;513600;50,284073
2014-08-20;52,630001;52,91;52,27;52,52;332400;50,198048
2014-08-21;52,630001;52,77;52,110001;52,139999;249600;49,83485
2014-08-22;52,049999;52,119999;51,740002;51,970001;399800;49,672363
2014-08-25;52,220001;52,560001;51,91;52,470001;276100;50,150257
2014-08-26;52,470001;52,580002;52,09;52,380001;291400;50,06424
2014-08-27;52,259998;52,259998;51,650002;52,009998;281200;49,71059
2014-08-28;51,73;51,790001;51,209999;51,549999;438400;49,270939
2014-08-29;51,549999;51,75;51,240002;51,43;372000;49,156242
2014-09-02;51,529999;52,299999;51,459999;52,27;661900;49,959099
2014-09-03;52,639999;52,880001;51,98;52,189999;393900;49,882629
2014-09-04;52,279999;52,84;52,07;52,330002;411300;50,016445
2014-09-05;52,470001;52,650002;51,91;52,48;517700;50,159821
2014-09-08;52,310001;52,619999;52,060001;52,220001;477300;49,911316
2014-09-09;52,16;52,490002;51,509998;51,740002;533300;49,45253
2014-09-10;51,630001;52,16;51,25;51,950001;620400;49,653255
2014-09-11;51,790001;52,52;51,77;52,060001;472200;49,758392
2014-09-12;51,830002;51,900002;50,709999;50,869999;811300;48,69582
2014-09-15;50,73;50,900002;50,080002;50,799999;818700;48,628803
2014-09-16;50,720001;51,41;50,580002;51,099998;671700;48,916
2014-09-17;51,16;52,25;50,91;51,060001;610400;48,877708
2014-09-18;51,23;51,23;50,52;50,619999;551200;48,456516
2014-09-19;50,880001;50,880001;47,470001;49,860001;1925100;47,728992
2014-09-22;49,66;49,82;49,169998;49,200001;829600;47,097198
2014-09-23;49,049999;49,470001;48,540001;48,919998;760000;46,829163
2014-09-24;48,900002;49,209999;48,810001;49;470900;46,905754
2014-09-25;48,77;49;48,060001;48,209999;604800;46,149509
2014-09-26;48,25;48,529999;48,189999;48,400002;664800;46,331398
2014-09-29;48,02;48,540001;47,790001;48;900800;45,94849
2014-09-30;47,900002;48;47,310001;47,639999;1371500;45,603874
2014-10-01;47,439999;48;46,880001;47,77;1083800;45,728317
2014-10-02;47,68;48,07;47,369999;47,869999;2127100;45,824036
2014-10-03;48,830002;49,209999;48,580002;49,139999;968600;47,039761
2014-10-06;49,200001;49,470001;48,470001;48,59;750300;46,513279
2014-10-07;48,369999;48,369999;46,580002;46,59;691600;44,598755
2014-10-08;46,540001;47,279999;45,849998;47,240002;1061700;45,22097
2014-10-09;47,389999;47,389999;46,540001;46,700001;617300;44,704041
2014-10-10;46,580002;46,970001;46,200001;46,25;776400;44,273289
2014-10-13;46,220001;46,48;45,279999;45,32;824500;43,383026
2014-10-14;45,509998;45,889999;44,82;45,060001;976900;43,134151
2014-10-15;44,560001;46;43,810001;45,720001;1284600;43,765938
2014-10-16;44,630001;46,5;44,220001;46,330002;696500;44,349869
2014-10-17;46,73;47,57;46,32;46,75;756800;44,751915
2014-10-20;46,580002;47,169998;46,57;46,900002;602400;44,895504
2014-10-21;47,169998;48,470001;47,169998;48,23;657200;46,168648
2014-10-22;48,240002;48,509998;47;47,099998;696000;45,086956
2014-10-23;47,700001;48,779999;47,259998;48,450001;733300;46,379253
2014-10-24;48,490002;49,169998;48,07;49,119999;414700;47,020615
2014-10-27;48,869999;49,310001;48,549999;49,150002;584000;47,049339
2014-10-28;49,419998;50,25;49,080002;50,200001;730600;48,054459
2014-10-29;50,509998;51,369999;49,66;50,290001;1184500;48,14061
2014-10-30;50,18;53,049999;49,240002;52,639999;1203500;50,390171
2014-10-31;53,619999;54,57;52,869999;53,09;2535400;50,820942
2014-11-03;53,16;53,59;52,91;53,43;811100;51,146416
2014-11-04;53,389999;53,84;53,09;53,119999;1120800;50,849667
2014-11-05;53,43;53,580002;52,740002;53,049999;539900;50,782661
2014-11-06;53,330002;53,509998;52,869999;53,419998;1041500;51,136837
2014-11-07;53,439999;53,560001;52,900002;52,959999;1249500;50,696495
2014-11-10;53,110001;53,110001;52,57;52,68;562600;50,428463
2014-11-11;52,810001;53,389999;52,369999;52,52;582100;50,275307
2014-11-12;52,310001;52,669998;52,009998;52,5;631100;50,256153
2014-11-13;52,57;52,68;51,880001;52,119999;375500;49,892395
2014-11-14;52;52,509998;51,790001;52,27;372900;50,035992
2014-11-17;52,189999;52,919998;52,110001;52,84;529600;50,581631
2014-11-18;52,91;54,049999;52,68;53,869999;629300;51,567604
2014-11-19;53,939999;54,32;53,540001;54;758000;51,692043
2014-11-20;53,619999;54,360001;53,52;54,09;220800;51,778194
2014-11-21;54,799999;54,880001;54,02;54,200001;488700;51,883495
2014-11-24;54,25;54,490002;53,880001;53,950001;482200;51,644184
2014-11-25;53,939999;53,970001;53,279999;53,57;453300;51,280426
2014-11-26;53,599998;53,799999;52,900002;53,060001;537700;50,792221
2014-11-28;53,09;54,16;53,09;53,849998;343200;51,548462
2014-12-01;53,790001;53,98;53,25;53,700001;467000;51,404873
2014-12-02;53,790001;54,419998;53,639999;54,360001;316000;52,036659
2014-12-03;54,560001;55,080002;54,41;54,689999;1397500;52,352551
2014-12-04;54,720001;54,990002;54,400002;54,59;570900;52,25684
2014-12-05;54,810001;55,610001;54,59;55,549999;861100;53,175804
2014-12-08;55,560001;55,91;54,599998;54,91;601500;52,563148
2014-12-09;54,029999;55,080002;53,860001;55;423800;52,649307
2014-12-10;54,689999;55,099998;53,970001;54,150002;464300;51,835648
2014-12-11;54,07;54,970001;53,580002;54,189999;394800;51,873928
2014-12-12;53,689999;54,139999;53,619999;53,810001;592700;51,586334
2014-12-15;54;54,41;53,349998;53,700001;452600;51,480877
2014-12-16;53,599998;54,099998;52,959999;53,43;1016300;51,222038
2014-12-17;53,540001;54,209999;53;54,110001;418500;51,873936
2014-12-18;54,810001;54,98;54,279999;54,950001;504700;52,67923
2014-12-19;55,380001;55,389999;54,650002;54,990002;686900;52,717575
2014-12-22;54,98;55,610001;54,77;55,610001;277900;53,311943
2014-12-23;55,610001;55,860001;55,400002;55,68;362700;53,379051
2014-12-24;55,810001;55,900002;55,400002;55,73;134000;53,426983
2014-12-26;55,77;56;55,580002;55,650002;193000;53,350292
2014-12-29;55,540001;56,060001;55,290001;55,91;340600;53,599545
2014-12-30;55,689999;55,889999;55,41;55,66;448600;53,359879
2014-12-31;55,869999;56,049999;55,25;55,459999;564100;53,16814
2015-01-02;55,490002;55,599998;53,970001;55,049999;668800;52,775078
2015-01-05;54,73;55,240002;54,560001;54,939999;534600;52,669628
2015-01-06;55;55,16;54,080002;54,849998;1337500;52,583347
2015-01-07;55,09;56;54,810001;55,599998;718400;53,302353
2015-01-08;55,709999;56,380001;55,18;56,349998;893900;54,021358
2015-01-09;56,110001;56,330002;55,790001;55,880001;541000;53,570789
2015-01-12;55,939999;55,990002;54,849998;54,990002;336600;52,717575
2015-01-13;55,299999;56,459999;54,450001;55,099998;520200;52,823021
2015-01-14;54,57;55,389999;54,18;55,330002;544200;53,04351
2015-01-15;55,549999;55,66;53,349998;53,799999;1114300;51,576733
2015-01-16;53,84;54,349998;53,169998;53,369999;2678200;51,164509
2015-01-20;53,439999;53,919998;52,59;52,790001;1137400;50,608479
2015-01-21;52,580002;53,450001;52,330002;52,919998;1614200;50,733105
2015-01-22;53,119999;54,43;52,900002;54,360001;894200;52,113594
2015-01-23;54,310001;55;54,310001;54,48;403700;52,228634
2015-01-26;54,759998;54,830002;53,77;53,91;702600;51,682194
2015-01-27;53,200001;54,040001;53,07;53,799999;476800;51,576733
2015-01-28;54,299999;55,16;53,91;54,349998;695100;52,104015
2015-01-29;54,150002;54,900002;53,709999;54,790001;456600;52,525829
2015-01-30;54,52;54,919998;53,880001;54,009998;591800;51,778061
2015-02-02;54,299999;54,529999;53,43;54,490002;1213600;52,238235
2015-02-03;54,939999;55,43;54,700001;55,049999;429400;52,775078
2015-02-04;55,029999;55,970001;54,970001;55,630001;578300;53,33112
2015-02-05;55,75;57,060001;55,75;57;627800;54,644512
2015-02-06;57,220001;57,799999;57,009998;57,549999;977400;55,171772
2015-02-09;57,540001;58,099998;56,880001;56,91;730300;54,558216
2015-02-10;57,220001;57,349998;56,259998;56,880001;527400;54,529472
2015-02-11;56,939999;57,209999;56,389999;56,720001;860000;54,37608
2015-02-12;57,139999;57,889999;56,849998;57,759998;723800;55,373085
2015-02-13;57,720001;58,82;57,189999;58,66;746300;56,235897
2015-02-17;58,790001;59,5;58,389999;58,560001;1336700;56,140041
2015-02-18;56,880001;57,43;55,130001;56;1721100;53,685822
2015-02-19;55,939999;57,860001;55,790001;57,619999;1670200;55,23888
2015-02-20;57,439999;58,720001;56,98;58,599998;980200;56,178375
2015-02-23;58,360001;58,720001;57,93;58,34;769700;55,929127
2015-02-24;58,110001;58,790001;57,900002;58,400002;526600;55,986645
2015-02-25;58,48;59,07;58,16;58,549999;626000;56,130444
2015-02-26;58,740002;58,77;58,029999;58,290001;507200;55,881184
2015-02-27;58,209999;58,540001;57,689999;57,73;342900;55,344345
2015-03-02;57,77;58,91;57,639999;58,82;694300;56,389294
2015-03-03;58,439999;58,82;58,049999;58,5;612000;56,08252
2015-03-04;58,650002;58,84;57,98;58,450001;940000;56,034576
2015-03-05;58,48;58,48;57,799999;58,110001;480000;55,708633
2015-03-06;57,689999;57,98;57,360001;57,450001;413900;55,075897
2015-03-09;57,41;58,139999;57,400002;57,990002;342800;55,593594
2015-03-10;57,689999;58,009998;57,110001;57,610001;491100;55,229294
2015-03-11;57,700001;58,259998;57,580002;57,91;559900;55,516888
2015-03-12;57,93;58,52;57,93;58,400002;420900;55,986645
2015-03-13;58,09;58,669998;57,799999;58,16;562300;55,852192
2015-03-16;58,509998;58,77;58,009998;58,740002;494300;56,409191
2015-03-17;58,209999;58,740002;58,040001;58,34;446100;56,025066
2015-03-18;58,290001;60,099998;58,060001;59,84;634800;57,465538
2015-03-19;59,860001;60,040001;59,290001;60,009998;599900;57,628796
2015-03-20;60,41;61,220001;60,23;61,139999;923000;58,713963
2015-03-23;61,240002;61,700001;60,810001;60,900002;685900;58,483475
2015-03-24;60,740002;61,400002;60,380001;60,900002;529500;58,483475
2015-03-25;60,84;61,23;60,139999;60,310001;652900;57,916889
2015-03-26;60,299999;60,669998;59,98;60,509998;554100;58,108952
2015-03-27;60,490002;61,299999;60,16;61,23;912800;58,800381
2015-03-30;61,400002;61,970001;61,400002;61,91;457400;59,4534
2015-03-31;61,5;61,93;61,049999;61,169998;428200;58,742764
2015-04-01;60,98;61,330002;60,790001;61,080002;443500;58,656342
2015-04-02;61,150002;61,709999;60,939999;61,450001;275700;59,011654
2015-04-06;61,18;62,16;61,029999;61,650002;653400;59,203724
2015-04-07;61,400002;61,709999;61,279999;61,57;398800;59,126884
2015-04-08;61,529999;61,73;61,18;61,689999;512100;59,242138
2015-04-09;61,700001;61,799999;61,139999;61,439999;425500;59,002048
2015-04-10;61,52;61,720001;60,869999;61,240002;559800;58,809986
2015-04-13;61,169998;61,580002;60,25;60,279999;438800;57,888073
2015-04-14;60,32;60,68;59,599998;59,970001;681000;57,590385
2015-04-15;60,02;60,610001;60,02;60,490002;443500;58,089748
2015-04-16;60,380001;60,470001;59,700001;60,16;350400;57,772846
2015-04-17;59,720001;59,720001;58,779999;59,099998;462000;56,754902
2015-04-20;59,200001;59,68;59,080002;59,310001;403300;56,95657
2015-04-21;59,689999;59,93;59,330002;59,810001;326600;57,436729
2015-04-22;59,869999;60,48;59,720001;60,360001;485400;57,964901
2015-04-23;60,07;60,18;59,529999;59,740002;1013000;57,369511
2015-04-24;59,689999;61,080002;59,630001;60,959999;873500;58,541092
2015-04-27;60,970001;61,450001;60,5;60,59;793100;58,185783
2015-04-28;60,400002;61,099998;60,240002;60,810001;950300;58,397049
2015-04-29;60,650002;60,700001;60,060001;60,549999;560600;58,147362
2015-04-30;61,049999;62,540001;60,900002;61,150002;2075800;58,723557
2015-05-01;60,619999;61,810001;60,18;61,450001;1464200;59,011654
2015-05-04;61,099998;62,360001;61,099998;62,25;672200;59,779903
2015-05-05;61,919998;62,360001;61,349998;61,5;577100;59,059669
2015-05-06;61,639999;61,849998;60,93;61,279999;531600;58,848404
2015-05-07;61,07;62;60,82;61,490002;1243500;59,050068
2015-05-08;62;62,529999;61,66;62,380001;874400;59,904751
2015-05-11;62,369999;63,419998;62,369999;63,18;1367300;60,673012
2015-05-12;62,869999;63,080002;61,549999;61,779999;565200;59,328552
2015-05-13;61,75;62,290001;61,599998;61,740002;621200;59,290154
2015-05-14;62,200001;62,200001;61,759998;61,869999;587900;59,41497
2015-05-15;61,830002;62,040001;61,419998;61,790001;890700;59,338169
2015-05-18;61,82;62,119999;61,57;61,889999;691200;59,434193
2015-05-19;62,099998;62,990002;61,790001;61,830002;546400;59,376579
2015-05-20;62,02;62,02;61,400002;61,540001;480700;59,098087
2015-05-21;61,709999;61,77;61,189999;61,400002;579900;58,963642
2015-05-22;61,400002;61,779999;60,990002;61,259998;252700;58,829201
2015-05-26;61,220001;61,369999;60,66;60,889999;375400;58,473873
2015-05-27;61,32;61,919998;60,93;61,82;286200;59,36697
2015-05-28;61,610001;61,970001;61,360001;61,939999;376200;59,482204
2015-05-29;62,009998;62,970001;61,869999;62,439999;675900;59,962364
2015-06-01;62,470001;62,470001;61,889999;62,040001;357600;59,578243
2015-06-02;62;62,700001;61,689999;62,389999;271400;59,914352
2015-06-03;62,369999;63,040001;61,799999;62,810001;458300;60,317688
2015-06-04;62,25;62,66;61,740002;61,830002;223800;59,376579
2015-06-05;61,650002;62,040001;61,110001;61,900002;314300;59,443798
2015-06-08;61,73;62,09;61,389999;61,400002;235000;58,963642
2015-06-09;61,34;61,34;60,73;60,950001;415300;58,531487
2015-06-10;61,02;61,939999;61,02;61,619999;336000;59,174904
2015-06-11;61,82;62,25;61,529999;61,650002;344900;59,203724
2015-06-12;61,529999;61,970001;60,970001;61,099998;276600;58,770874
2015-06-15;60,849998;61,099998;60,330002;60,860001;431300;58,54002
2015-06-16;60,630001;60,98;60,290001;60,610001;320500;58,299557
2015-06-17;60,82;61,240002;60,209999;61,169998;352200;58,8382
2015-06-18;61,27;61,919998;61,119999;61,41;335800;59,069042
2015-06-19;61,369999;62,009998;61,040001;61,669998;647000;59,319145
2015-06-22;62;62,459999;61,709999;62,080002;275300;59,713512
2015-06-23;62,02;62,580002;61,77;62,080002;425800;59,713512
2015-06-24;62,279999;62,799999;61,77;62,049999;508700;59,684658
2015-06-25;62,049999;62,630001;61,639999;61,73;229700;59,37685
2015-06-26;61,82;62,040001;61,529999;61,630001;256900;59,280674
2015-06-29;61,509998;61,639999;59,799999;59,900002;525600;57,616619
2015-06-30;60,490002;61,02;60,009998;60,139999;617900;57,847466
2015-07-01;60,73;60,810001;60,080002;60,209999;612300;57,914799
2015-07-02;60,5;60,59;59,639999;59,77;308500;57,491566
2015-07-06;59,48;60,130001;59,09;59,560001;340900;57,289574
2015-07-07;59,73;59,73;58,68;59,650002;876400;57,376148
2015-07-08;59,290001;59,439999;58,43;58,48;477200;56,250748
2015-07-09;59,25;59,650002;59,09;59,189999;593100;56,933681
2015-07-10;59,830002;60,439999;59,650002;60,27;753800;57,972511
