"date";"open";"high";"low";"close";"volume";"adjusted"
2010-05-26;56,599998;56,700001;55,709999;55,98;6146600;43,736656
2010-05-27;57,34;59,259998;57,040001;58,740002;8764500;45,893036
2010-05-28;58,790001;58,919998;58,02;58,25;3501100;45,510201
2010-06-01;58,18;58,849998;57,73;57,98;3200400;45,299259
2010-06-02;58,34;58,98;57,950001;58,950001;3898900;46,057106
2010-06-03;58,23;59,16;57,299999;57,93;7219000;45,260197
2010-06-04;57,450001;57,450001;56,009998;56,169998;5499000;43,885117
2010-06-07;56,009998;56,619999;55,759998;55,849998;3414800;43,635101
2010-06-08;55,689999;56,720001;55,549999;56,66;3726500;44,267952
2010-06-09;56,68;57,75;56,580002;57,400002;4926900;44,846119
2010-06-10;57,82;58,060001;57,299999;57,650002;3270300;45,041424
2010-06-11;57,18;57,650002;57;57,52;3093000;44,939857
2010-06-14;57,639999;57,900002;57,299999;57,52;2510800;44,939857
2010-06-15;57,93;59,18;57,919998;59,16;5099900;46,221169
2010-06-16;58,470001;58,889999;58,119999;58,34;2876900;45,580521
2010-06-17;58,59;58,720001;57,990002;58,580002;2829000;45,76804
2010-06-18;58,5;58,73;58,049999;58,209999;3657100;45,478947
2010-06-21;58,5;58,700001;57,549999;57,779999;2795600;45,143009
2010-06-22;57,990002;58,310001;57,540001;57,610001;2716300;45,01017
2010-06-23;57,59;57,68;57,02;57,439999;2541200;44,877361
2010-06-24;57,169998;57,450001;56;56,220001;3772600;43,924175
2010-06-25;56,169998;56,860001;55,869999;56,439999;4488900;44,096073
2010-06-28;56,59;57,200001;56,220001;56,650002;3043600;44,260132
2010-06-29;56,18;56,369999;55,389999;55,630001;4298400;43,463211
2010-06-30;55,52;55,669998;54,689999;54,830002;4609600;42,838192
2010-07-01;54,73;55,16;54,220001;54,900002;5376600;42,892887
2010-07-02;55,18;55,18;53,759998;54,23;3385200;42,369419
2010-07-06;54,689999;54,709999;53,509998;54;3364700;42,189705
2010-07-07;53,759998;54,330002;53,41;54,290001;4813000;42,41629
2010-07-08;54,779999;55,790001;54,52;55,709999;7592700;43,52573
2010-07-09;56,290001;56,290001;55,599998;56,189999;3895600;43,900738
2010-07-12;56,049999;56,43;55,73;55,93;2644600;43,697624
2010-07-13;56,150002;56,75;56,150002;56,509998;3207300;44,150757
2010-07-14;56,389999;56,400002;55,869999;56,349998;3428200;44,025745
2010-07-15;56,369999;56,59;55,849998;56,549999;2949400;44,182007
2010-07-16;56,59;56,599998;54,950001;54,98;5020200;42,955383
2010-07-19;55,130001;55,290001;54,599998;54,82;3575000;42,830376
2010-07-20;54,369999;55,09;54,110001;55,09;6343500;43,041336
2010-07-21;55,07;55,099998;53,490002;53,610001;4973800;41,88501
2010-07-22;54,09;55,080002;53,84;54,900002;5284100;42,892887
2010-07-23;55;56;54,779999;55,950001;4905800;43,713234
2010-07-26;55,790001;56;55,450001;55,709999;3494400;43,52573
2010-07-27;56,490002;57,360001;56,389999;57,209999;6930000;44,697662
2010-07-28;57,220001;57,400002;56,41;56,509998;3077800;44,150757
2010-07-29;56,740002;57;55,77;56,209999;3439800;43,916363
2010-07-30;55,709999;56,889999;55,709999;56,709999;2973900;44,307014
2010-08-02;57,060001;57,34;56,759998;56,84;3588100;44,408588
2010-08-03;56,619999;56,91;56,380001;56,549999;3246800;44,182007
2010-08-04;56,490002;57,610001;56,240002;57,400002;4364600;45,009277
2010-08-05;56,740002;56,740002;55,860001;56,459999;4358300;44,272182
2010-08-06;56,25;56,639999;55,759998;56,540001;3030000;44,334923
2010-08-09;56,549999;57,490002;56,540001;57,16;2391800;44,821072
2010-08-10;56,790001;57,310001;56,630001;56,98;2433600;44,679928
2010-08-11;56,509998;56,619999;55,810001;55,869999;2847500;43,809544
2010-08-12;55,490002;55,959999;55,369999;55,669998;3269000;43,652721
2010-08-13;55,41;55,709999;55,060001;55,310001;2270600;43,370438
2010-08-16;55,139999;55,5;55;55,369999;2395400;43,417473
2010-08-17;55,509998;56,290001;55,380001;55,830002;2641600;43,778198
2010-08-18;55,25;55,990002;54,990002;55,68;2909200;43,660553
2010-08-19;55,439999;55,630001;54,610001;55,009998;2946200;43,135197
2010-08-20;54,73;55,119999;54,48;55,040001;2896200;43,15871
2010-08-23;55,330002;55,650002;54,849998;54,900002;2407500;43,048923
2010-08-24;54,52;55,669998;54,049999;55,599998;6658600;43,597832
2010-08-25;55,369999;57,400002;55,200001;57,07;5946600;44,750504
2010-08-26;57,130001;57,150002;56,150002;56,279999;3854500;44,131046
2010-08-27;56,389999;56,529999;55,41;56,189999;4254700;44,060467
2010-08-30;56,209999;56,849998;56,07;56,07;2843100;43,966366
2010-08-31;55,860001;57,060001;55,740002;56,5;4358700;44,303555
2010-09-01;56,93;57,889999;56,759998;57,790001;3966400;45,315086
2010-09-02;58,41;58,830002;57,650002;58,59;5011300;45,942375
2010-09-03;59,049999;59,049999;58,189999;58,57;2779400;45,926697
2010-09-07;58,25;59;58,200001;58,639999;2598500;45,981598
2010-09-08;59,369999;59,419998;58,799999;59,209999;3412700;46,428562
2010-09-09;59,5;59,509998;58,830002;58,939999;2622900;46,216835
2010-09-10;59,299999;59,790001;59,139999;59,540001;2608600;46,687309
2010-09-13;59,82;60,23;59,41;60,049999;3107800;47,087227
2010-09-14;60;61,209999;59,939999;61,040001;4134800;47,863518
2010-09-15;61,040001;61,27;60,91;61,189999;3523100;47,981144
2010-09-16;61,16;61,330002;60,82;61,240002;2230600;48,020344
2010-09-17;61,5;61,5;60,950001;61,290001;3495800;48,05954
2010-09-20;61,509998;61,779999;60,970001;61,279999;3472500;48,051708
2010-09-21;61,209999;61,529999;60,860001;61,27;3198500;48,043873
2010-09-22;61,52;62,450001;61,52;62,330002;4806500;48,875061
2010-09-23;62,049999;62,82;61,880001;62,5;3399200;49,008347
2010-09-24;63;64,309998;62,779999;64,050003;4481600;50,223755
2010-09-27;63,82;64,139999;63,630001;63,73;4704400;49,972839
2010-09-28;63,860001;65,110001;63,689999;65;5453500;50,968681
2010-09-29;64,93;65,220001;64,389999;64,669998;3585200;50,709915
2010-09-30;64,870003;65;64,07;64,489998;4090300;50,568787
2010-10-01;64,919998;65,25;64,5;65,050003;4037200;51,007904
2010-10-04;65,059998;65,239998;64,529999;64,559998;4502900;50,623672
2010-10-05;65;65;64,330002;64,660004;5698600;50,702091
2010-10-06;63;65,459999;62,810001;65,410004;11502200;51,290165
2010-10-07;65,220001;65,269997;64,43;65,260002;5048000;51,172569
2010-10-08;64,400002;64,949997;63,939999;64,290001;5632000;50,411953
2010-10-11;63,389999;64,489998;63,279999;64,32;2584800;50,435478
2010-10-12;64,029999;64,089996;63,310001;63,34;4454400;49,66703
2010-10-13;63,200001;63,959999;63;63,360001;5006500;49,682713
2010-10-14;63,119999;63,860001;62,91;63,18;4214500;49,541557
2010-10-15;63,459999;63,77;63,209999;63,700001;4033400;49,94931
2010-10-18;63,419998;63,810001;63,130001;63,209999;2417000;49,56509
2010-10-19;62,66;63,139999;61,900002;62,209999;3970600;48,780952
2010-10-20;62,349998;63,07;62,25;62,610001;2785800;49,094608
2010-10-21;62,560001;63,889999;62,540001;63,599998;4190700;49,870903
2010-10-22;63,84;64,099998;63,220001;64,029999;2406400;50,208076
2010-10-25;64,120003;64,769997;64,010002;64,110001;2764000;50,270809
2010-10-26;63,52;64,190002;63,439999;63,68;2826200;49,933628
2010-10-27;63,380001;63,380001;62,509998;62,98;3378700;49,544231
2010-10-28;63,060001;63,25;62,5;62,799999;2385400;49,402622
2010-10-29;62,610001;62,900002;62,52;62,77;2350900;49,379032
2010-11-01;63,049999;63,619999;62,779999;63,279999;2790600;49,780228
2010-11-02;63,549999;64,18;63,349998;63,720001;2988400;50,126373
2010-11-03;63,529999;63,860001;62,709999;63,16;4080900;49,685822
2010-11-04;63,889999;65,629997;63,889999;65,480003;5801500;51,510899
2010-11-05;65,529999;66,040001;65,230003;65,400002;3039900;51,447964
2010-11-08;64,860001;64,870003;64,239998;64,809998;2613500;50,983818
2010-11-09;64,699997;64,779999;63,959999;64,220001;2600000;50,519703
2010-11-10;64,019997;64,5;63,939999;64,449997;2680800;50,700626
2010-11-11;64,099998;65,419998;63,91;65,349998;3798400;51,408634
2010-11-12;64,879997;65,699997;64,650002;65,199997;3703200;51,290615
2010-11-15;65,449997;65,989998;65,400002;65,480003;2949000;51,510899
2010-11-16;65,190002;66,400002;64,57;65,739998;6198600;51,715416
2010-11-17;66,019997;67,129997;66,019997;67,019997;5484600;52,722363
2010-11-18;67,25;67,489998;66,32;66,410004;3671100;52,2425
2010-11-19;66,260002;66,720001;66,120003;66,559998;2710300;52,360497
2010-11-22;66,269997;67,339996;66,18;67,260002;2827200;52,91116
2010-11-23;66,970001;67,07;66,269997;66,900002;2985800;52,627968
2010-11-24;67,169998;68;67,169998;67,540001;2688000;53,131424
2010-11-26;67,110001;67,470001;67,029999;67,220001;952900;52,8797
2010-11-29;66,900002;67;66,330002;66,970001;2350200;52,683029
2010-11-30;66,589996;67,919998;66,510002;67,610001;3305000;53,186493
2010-12-01;68,209999;68,800003;68,010002;68,309998;3038100;53,737156
2010-12-02;68,519997;69,110001;68,129997;69,010002;3288800;54,287823
2010-12-03;68,870003;69,260002;68,239998;68,389999;3092300;53,800083
2010-12-06;68,330002;69,410004;68,330002;69,190002;3366000;54,42944
2010-12-07;69,699997;70,059998;69,120003;69,639999;5115400;54,783424
2010-12-08;69,379997;69,709999;68,529999;69,25;3691400;54,476639
2010-12-09;69,699997;71,129997;69,279999;71,019997;6777000;55,869022
2010-12-10;70,75;71,279999;70,620003;71,25;3555900;56,04995
2010-12-13;71,129997;71,489998;70,529999;70,739998;5797100;55,648746
2010-12-14;70,699997;71,540001;70,599998;71,209999;2682500;56,018501
2010-12-15;71,010002;71,449997;70,889999;71,050003;3522600;55,892624
2010-12-16;71,050003;72,230003;71,010002;72,120003;3449700;56,73436
2010-12-17;71,93;72,440002;71,699997;71,839996;6457100;56,514088
2010-12-20;71,889999;72,550003;71,760002;72,309998;2631800;56,883827
2010-12-21;72,57;72,769997;72,260002;72,32;2200500;56,891701
2010-12-22;72,330002;72,540001;72;72,269997;1947900;56,852348
2010-12-23;72,160004;72,449997;71,940002;72,239998;1379400;56,828766
2010-12-27;71,879997;72,269997;71,720001;72,080002;1155800;56,702892
2010-12-28;72,230003;72,870003;72,139999;72,709999;1974500;57,198486
2010-12-29;72,889999;73,160004;72,57;72,699997;1526400;57,190617
2010-12-30;72,709999;72,970001;72,610001;72,849998;1424800;57,308613
2010-12-31;72,690002;72,989998;72,190002;72,209999;1304200;56,805153
2011-01-03;72,75;73,449997;72,389999;72,470001;3405500;57,009689
2011-01-04;72,529999;72,529999;71,760002;72,330002;3966700;56,899544
2011-01-05;71,989998;72,099998;70,900002;70,989998;4270100;55,845413
2011-01-06;70,360001;71,25;70,010002;70,650002;3280400;55,577957
2011-01-07;70,949997;71,190002;70,449997;70,650002;2342700;55,577957
2011-01-10;70,279999;70,599998;70,019997;70,480003;2073200;55,444233
2011-01-11;70,550003;71,25;70,32;71,07;2065500;55,908363
2011-01-12;71,199997;71,68;71,110001;71,489998;1629900;56,238762
2011-01-13;71,32;71,75;71,25;71,599998;1923100;56,325275
2011-01-14;71,349998;72,519997;71,209999;72,510002;2454700;57,041164
2011-01-18;72,540001;72,910004;72,279999;72,599998;2416600;57,11195
2011-01-19;72,379997;72,489998;71,860001;72,07;2310500;56,695019
2011-01-20;71,790001;72,93;71,790001;72,360001;2306800;56,923168
2011-01-21;72,480003;72,959999;72,339996;72,769997;2182900;57,245678
2011-01-24;72,860001;72,889999;72,389999;72,620003;2212600;57,127697
2011-01-25;72,510002;72,610001;71,709999;72,459999;2820000;57,001842
2011-01-26;72,470001;72,980003;72,220001;72,620003;2093700;57,127697
2011-01-27;72,839996;73,699997;72,760002;73,120003;2854500;57,521034
2011-01-28;73,330002;73,580002;71,75;71,93;2426000;56,584885
2011-01-31;72,239998;72,43;71,610001;71,839996;2309000;56,514088
2011-02-01;72,220001;72,629997;71,900002;72,43;1997700;56,978218
2011-02-02;72,150002;72,480003;70,540001;70,849998;4454800;55,735291
2011-02-03;71,769997;74,239998;71,769997;74,029999;3780100;58,236874
2011-02-04;74,120003;74,419998;73,470001;74,129997;1874300;58,315567
2011-02-07;73,959999;74,279999;73,620003;74,25;2447000;58,409943
2011-02-08;74,230003;74,82;74,120003;74,800003;1771400;58,842636
2011-02-09;74,360001;74,769997;74,120003;74,669998;1746000;58,901783
2011-02-10;74,440002;74,650002;73,940002;74,550003;1938600;58,807129
2011-02-11;74,059998;75,059998;74,059998;75,040001;1678200;59,193642
2011-02-14;75,050003;75,110001;74,519997;74,660004;1220000;58,893898
2011-02-15;74,349998;74,540001;74,120003;74,330002;1460200;58,633602
2011-02-16;74,510002;75,099998;74,400002;74,959999;1435000;59,130535
2011-02-17;74,279999;75,010002;74,059998;74,839996;1360100;59,03587
2011-02-18;74,82;75,480003;74,300003;75,43;2130900;59,501297
2011-02-22;75,110001;75,410004;73,839996;73,889999;2115700;58,286491
2011-02-23;73,800003;73,800003;72,410004;72,839996;2783600;57,458233
2011-02-24;72,790001;73,529999;72,300003;72,980003;1848000;57,568687
2011-02-25;73,25;74,029999;73,239998;73,57;1818100;58,034061
2011-02-28;73,93;74,949997;73,849998;74,790001;3306600;58,996449
2011-03-01;75,110001;75,389999;73,43;73,620003;3507200;58,073505
2011-03-02;73,5;73,769997;70,860001;71,760002;6197500;56,6063
2011-03-03;72,25;72,599998;71,620003;72,489998;2985400;57,182137
2011-03-04;72,5;72,860001;72,209999;72,809998;2678000;57,434563
2011-03-07;72,989998;72,989998;72,029999;72,190002;3105000;56,945507
2011-03-08;72,089996;74,059998;72,089996;73,620003;2615800;58,073505
2011-03-09;73,480003;74,25;73,080002;74,160004;1926400;58,499474
2011-03-10;73,510002;74,18;73,120003;73,379997;2372300;57,884209
2011-03-11;73,089996;73,620003;72,540001;72,550003;2068600;57,229469
2011-03-14;72,25;72,470001;71,540001;71,839996;2217400;56,669399
2011-03-15;70,760002;71,970001;70,660004;71,559998;2542200;56,448524
2011-03-16;71,139999;71,190002;69,540001;69,760002;3980200;55,028629
2011-03-17;70,459999;70,989998;70,080002;70,459999;2346600;55,580826
2011-03-18;71,029999;71,230003;70,150002;70,660004;4766800;55,738575
2011-03-21;71,110001;71,190002;70,370003;71,040001;2553200;56,038353
2011-03-22;71,059998;71,889999;70,919998;71,550003;1929300;56,440659
2011-03-23;71,489998;71,540001;70,400002;70,919998;2494900;55,943687
2011-03-24;71,190002;72,330002;71,099998;72,110001;2118700;56,882389
2011-03-25;72,239998;72,370003;71,410004;71,459999;2122100;56,369644
2011-03-28;71,489998;71,809998;70,989998;71,260002;1328200;56,211876
2011-03-29;71,239998;71,949997;70,779999;71,900002;1334600;56,71674
2011-03-30;72,269997;72,980003;72,269997;72,809998;1769700;57,434563
2011-03-31;72,559998;73,459999;72,080002;73,32;2323500;57,836868
2011-04-01;73,160004;74,330002;73,139999;74,25;2474600;58,570473
2011-04-04;74,620003;74,879997;73,940002;74,169998;1287100;58,50737
2011-04-05;74,349998;75,82;74,349998;74,93;3386300;59,10688
2011-04-06;75,309998;75,940002;74,75;74,989998;1980700;59,154217
2011-04-07;76,370003;78,459999;76,339996;77,82;5923000;61,386585
2011-04-08;77,169998;77,290001;76,209999;76,410004;2933400;60,274353
2011-04-11;76,160004;76,620003;75,669998;76,199997;2423900;60,108688
2011-04-12;75,75;76,839996;75,739998;76,449997;2108000;60,305889
2011-04-13;76,739998;76,739998;75,959999;76,410004;1285900;60,274353
2011-04-14;75,959999;76,470001;75,660004;76,339996;1590700;60,219116
2011-04-15;76,339996;77,029999;76,239998;76,970001;2137000;60,71608
2011-04-18;76;77,059998;76;76,900002;1641500;60,660881
2011-04-19;77,080002;77,150002;76,459999;76,709999;1794500;60,511002
2011-04-20;77,510002;78,669998;77,400002;78,559998;2477700;61,970314
2011-04-21;78,650002;78,959999;78,050003;78,870003;1790700;62,214855
2011-04-25;78,639999;78,870003;78,360001;78,660004;1610300;62,049221
2011-04-26;78,940002;80;78,349998;79,779999;2800000;62,932705
2011-04-27;80,309998;81,290001;80,169998;81,099998;3069400;63,973934
2011-04-28;80,93;81,5;80,860001;81,459999;2500000;64,257935
2011-04-29;81,18;81,489998;80,540001;80,889999;6513700;63,808292
2011-05-02;81,209999;81,279999;80,559998;81,040001;2154800;63,926624
2011-05-03;80,919998;81,160004;80,129997;80,510002;2700000;63,508553
2011-05-04;80,269997;80,919998;80,110001;80,139999;2187700;63,216667
2011-05-05;80,050003;80,919998;79,370003;79,610001;3300000;62,798615
2011-05-06;80,440002;80,82;80,07;80,449997;2214700;63,461205
2011-05-09;80,470001;81,5;80,330002;81,400002;1519700;64,210617
2011-05-10;81,68;82,699997;81,550003;82,230003;2069300;64,865318
2011-05-11;82,029999;82,269997;81,190002;81,699997;1600000;64,635933
2011-05-12;81,730003;83,400002;81,489998;83,32;2500000;65,917526
2011-05-13;83,269997;83,589996;82,57;82,720001;2215700;65,442871
2011-05-16;82,550003;82,650002;82,099998;82,309998;1768100;65,118492
2011-05-17;82,169998;82,879997;82,050003;82,709999;1538300;65,434952
2011-05-18;82,629997;83,370003;82,050003;83,239998;1630900;65,85424
2011-05-19;83,339996;83,900002;83,099998;83,860001;1137300;66,344749
2011-05-20;83,769997;83,949997;82,309998;83,400002;2223400;65,98085
2011-05-23;82,620003;83,279999;82,279999;82,639999;2400000;65,379562
2011-05-24;82,970001;82,970001;81,269997;81,349998;3623100;64,359016
2011-05-25;80,330002;80,769997;79,139999;80,32;5232000;63,544132
2011-05-26;80,059998;80,919998;79,610001;80,809998;2353600;63,931774
2011-05-27;80,93;81,809998;80,809998;81,529999;1736000;64,501411
2011-05-31;81,940002;82,5;81,660004;82,480003;2230300;65,252991
2011-06-01;82,339996;82,510002;80,139999;80,209999;2708800;63,457111
2011-06-02;80,830002;80,860001;78,970001;79;4003400;62,499832
2011-06-03;78,599998;78,849998;77,760002;77,809998;3377400;61,558369
2011-06-06;77,550003;78,150002;77,309998;77,690002;2496700;61,463428
2011-06-07;78,080002;78,949997;77,830002;78,360001;2467000;61,9935
2011-06-08;78,370003;79,660004;78,25;78,93;2517700;62,444447
2011-06-09;79;79,699997;78,639999;79,029999;1843700;62,523571
2011-06-10;79,099998;79,279999;78,230003;78,300003;2121900;61,94603
2011-06-13;78,18;79,019997;78,050003;78,449997;1381100;62,064701
2011-06-14;79,139999;79,419998;78,800003;79,239998;1746900;62,689705
2011-06-15;78,550003;78,959999;77,739998;77,93;1765800;61,653305
2011-06-16;77,879997;78,910004;77,75;78,849998;2191800;62,381161
2011-06-17;79,980003;80,660004;79,230003;79,629997;4217400;62,998245
2011-06-20;79,709999;81,300003;79,639999;81,25;2178600;64,279884
2011-06-21;81,389999;81,440002;80,540001;81,389999;2242000;64,390648
2011-06-22;81,099998;81,360001;80,5;80,519997;1545700;63,702362
2011-06-23;79,75;80,589996;79,32;80,400002;2315900;63,607426
2011-06-24;81,129997;81,129997;79,129997;79,129997;2462600;62,602665
2011-06-27;78,949997;80,059998;78,919998;79,849998;1841200;63,172272
2011-06-28;79,989998;80,169998;79,629997;79,989998;1786600;63,283054
2011-06-29;80,199997;80,68;79,879997;80,029999;2262000;63,314709
2011-06-30;80,269997;81,339996;79,980003;81,239998;2410500;64,271988
2011-07-01;81,5;81,699997;81,040001;81,540001;2087500;64,509338
2011-07-05;81,690002;81,949997;80,970001;81,290001;1860800;64,311539
2011-07-06;81,370003;82,940002;81,370003;82,639999;2155600;65,379562
2011-07-07;83,199997;83,449997;81,610001;82,059998;3197400;64,920731
2011-07-08;81,589996;82;80,910004;81,410004;1992300;64,406464
2011-07-11;80,68;81,080002;80,440002;80,68;1590300;63,828941
2011-07-12;80,889999;81,760002;80,650002;80,709999;1725100;63,852657
2011-07-13;80,989998;81,559998;80,309998;80,839996;1448500;63,955509
2011-07-14;80,870003;81,470001;80,129997;80,330002;1558500;63,55204
2011-07-15;80,360001;80,57;79,400002;79,860001;2212200;63,18021
2011-07-18;79,529999;79,809998;78,809998;79,110001;1486900;62,586864
2011-07-19;79,760002;80,949997;79,699997;80,809998;1839400;63,931774
2011-07-20;80,82;80,879997;79,849998;80,690002;1562400;63,836876
2011-07-21;80,870003;82,120003;80,669998;81,519997;1729600;64,493492
2011-07-22;81,669998;81,830002;81,150002;81,669998;991500;64,61216
2011-07-25;81,199997;81,589996;81,059998;81,160004;1174200;64,208672
2011-07-26;80,959999;81,57;80,419998;80,550003;1127100;63,726086
2011-07-27;80,059998;80,290001;78,330002;78,389999;2309200;62,017231
2011-07-28;78,389999;79,32;78,25;78,330002;1985600;61,969753
2011-07-29;77,5;78,919998;77,190002;78,25;2434000;61,906467
2011-08-01;79,32;79,349998;77,059998;77,709999;2554400;61,479256
2011-08-02;77,300003;77,75;75,769997;75,830002;3445100;59,991936
